date,state,city,place_type,confirmed,deaths
11/04/2020,SC,Florianópolis,city,173,3
11/04/2020,SC,Forquilhinha,city,1,0
11/04/2020,SC,Garopaba,city,1,0
11/04/2020,SC,Gaspar,city,5,1
11/04/2020,SC,Governador Celso Ramos,city,3,0
11/04/2020,SC,Gravatal,city,8,0
11/04/2020,SC,Guabiruba,city,1,0
11/04/2020,SC,Guaramirim,city,1,0
11/04/2020,SC,Içara,city,7,0
11/04/2020,SC,Imbituba,city,9,0
11/04/2020,SC,Importados/Indefinidos,city,11,0
11/04/2020,SC,Indaial,city,2,0
11/04/2020,SC,Irati,city,1,0
11/04/2020,SC,Itajaí,city,36,2
11/04/2020,SC,Itapema,city,7,0
11/04/2020,SC,Itapiranga,city,1,0
11/04/2020,SC,Jaguaruna,city,3,0
11/04/2020,SC,Jaraguá do Sul,city,10,0
11/04/2020,SC,Joaçaba,city,1,0
11/04/2020,SC,Joinville,city,52,1
11/04/2020,SC,Lages,city,8,0
11/04/2020,SC,Laguna,city,4,0
11/04/2020,SC,Mafra,city,1,0
11/04/2020,SC,Massaranduba,city,1,1
11/04/2020,SC,Morro da Fumaça,city,2,0
11/04/2020,SC,Navegantes,city,5,0
11/04/2020,SC,Nova Trento,city,1,0
11/04/2020,SC,Orleans,city,1,0
11/04/2020,SC,Palhoça,city,6,1
11/04/2020,SC,Papanduva,city,2,0
11/04/2020,SC,Paulo Lopes,city,1,0
11/04/2020,SC,Pedras Grandes,city,2,1
11/04/2020,SC,Pescaria Brava,city,1,0
11/04/2020,SC,Pomerode,city,1,0
11/04/2020,SC,Porto Belo,city,5,1
11/04/2020,SC,Rancho Queimado,city,2,0
11/04/2020,SC,Rio Negrinho,city,1,0
11/04/2020,SC,Rio Rufino,city,1,0
11/04/2020,SC,Sangão,city,1,0
11/04/2020,SC,Santa Cecília,city,1,0
11/04/2020,SC,Santa Rosa de Lima,city,2,0
11/04/2020,SC,Santo Amaro da Imperatriz,city,1,0
11/04/2020,SC,São Bento do Sul,city,1,0
11/04/2020,SC,São Domingos,city,3,0
11/04/2020,SC,São Francisco do Sul,city,2,0
11/04/2020,SC,São José,city,24,0
11/04/2020,SC,São Lourenço do Oeste,city,2,0
11/04/2020,SC,São Ludgero,city,6,1
11/04/2020,SC,São Pedro de Alcântara,city,1,0
11/04/2020,SC,Schroeder,city,1,0
11/04/2020,SC,Siderópolis,city,5,0
11/04/2020,SC,Sombrio,city,7,1
11/04/2020,SC,Tangará,city,1,0
11/04/2020,SC,Tijucas,city,3,0
11/04/2020,SC,Timbé do Sul,city,1,0
11/04/2020,SC,Timbó,city,1,0
11/04/2020,SC,Tubarão,city,30,1
11/04/2020,SC,Urussanga,city,3,0
11/04/2020,SC,Vidal Ramos,city,1,0
11/04/2020,SC,Videira,city,1,0
09/03/2020,DF,,state,1,0
11/04/2020,SE,Aracaju,city,35,4
11/04/2020,SE,Capela,city,1,0
11/04/2020,SE,Itabaiana,city,1,0
11/04/2020,SE,Nossa Senhora da Glória,city,2,0
11/04/2020,SE,Pacatuba,city,2,0
11/04/2020,SE,Propriá,city,2,0
11/04/2020,SE,Simão Dias,city,1,0
10/03/2020,DF,,state,1,0
11/04/2020,SP,Águas de Lindóia,city,1,1
11/04/2020,SP,Águas de São Pedro,city,1,0
11/04/2020,SP,Agudos,city,2,1
11/04/2020,SP,Americana,city,3,2
11/04/2020,SP,Américo Brasiliense,city,1,0
11/04/2020,SP,Amparo,city,1,0
11/04/2020,SP,Araçariguama,city,1,0
11/04/2020,SP,Araçatuba,city,14,0
11/04/2020,SP,Araçoiaba da Serra,city,1,0
11/04/2020,SP,Araraquara,city,10,1
11/04/2020,SP,Araras,city,3,0
11/04/2020,SP,Artur Nogueira,city,1,0
11/04/2020,SP,Arujá,city,11,1
11/04/2020,SP,Assis,city,4,1
11/04/2020,SP,Atibaia,city,13,0
11/04/2020,SP,Avaré,city,3,0
11/04/2020,SP,Bady Bassitt,city,2,0
11/04/2020,SP,Barra do Turvo,city,1,0
11/04/2020,SP,Barretos,city,4,0
11/04/2020,SP,Barueri,city,43,2
